cluster_key,cluster_size,review_verdict,max_description_similarity,same_country,match_basis,merged_by_pipeline,source_row_id,company_name,company_name_normalized,domain,linkedin_company_url,locality,country,employee_range,revenue_band,description_excerpt
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,91626,MANSION77,mansion77,schmittfarms.com,,,,,0-500K,
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,92298,MANSION77,mansion77,portfoliocoffeehouse.com,,,,,1M-5M,
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,92414,MANSION77,mansion77,pibeachcoma.com,,,,,1M-5M,
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,92802,MANSION77,mansion77,oddfellowsliquorbar.com,,,,,1M-5M,
mansion77||,6,likely_same_company,0.557,True,normalized_name + locality,no - kept separate pending review,95705,MANSION77,mansion77,elbasharestaurant.com,,,,,0-500K,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,14260,Menufy,menufy,sohoramenriverside.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,16645,Menufy,menufy,lafuenteop.com,,,,,,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,19981,Menufy,menufy,vietfirekitchenashburn.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,25201,Menufy,menufy,kingstonpizzarichmond.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,27436,Menufy,menufy,enchantedcoffeeca.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,29386,Menufy,menufy,alhamraaz.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,29650,Menufy,menufy,112thstreetdiner.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,32457,Menufy,menufy,pumpsushi.com,,,,,10M-25M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,33035,Menufy,menufy,orderhigoexpress.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,33036,Menufy,menufy,orderhibiscustree.com,,,,,,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,33605,Menufy,menufy,mrkusocafetemplecity.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,35012,Menufy,menufy,hotchickzlp.com,,,,,,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,36434,Menufy,menufy,downtowndawgsdecatur.com,,,,,1M-5M,
menufy||,14,likely_same_company,0.791,True,normalized_name + locality,no - kept separate pending review,37041,Menufy,menufy,casadelmarisco.com,,,,,1M-5M,
"mrmsoft||houston, tx",2,likely_same_company,1.0,True,normalized_name + locality,no - kept separate pending review,33603,MRMSoft Inc.,mrmsoft,mrmsoftinc.com,https://www.linkedin.com/company/mrmsoftinc,"Houston, TX",United States,11-50 employees,,"MRMSoft Inc. is all about the experience. We design simple, convincing, and efficient business development solutions that make it easy for users to quickly find exactly what they’re looking for when they arrive at your platform and then con"
"mrmsoft||houston, tx",2,likely_same_company,1.0,True,normalized_name + locality,no - kept separate pending review,33604,MRMSoft Inc.,mrmsoft,mrm-soft.com,https://www.linkedin.com/company/mrmsoft,"Houston, TX",United States,11-50 employees,1M-5M,"MRMSoft Inc. is all about the experience. We design simple, convincing, and efficient business development solutions that make it easy for users to quickly find exactly what they’re looking for when they arrive at your platform and then con"
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,101303,ParentSquare,parentsquare,wwtech.org,,,,,1M-5M,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,102851,ParentSquare,parentsquare,doverschools.net,,,,,1M-5M,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,103227,ParentSquare,parentsquare,woodford.k12.ky.us,,,,,1M-5M,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,104275,ParentSquare,parentsquare,summitcharter.org,,,,,1M-5M,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,105655,ParentSquare,parentsquare,ortrail.k12.or.us,,,,,0-500K,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,105828,ParentSquare,parentsquare,novamil.org,,,,,5M-10M,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,107147,ParentSquare,parentsquare,hopkins.k12.ky.us,,,,,0-500K,
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,107618,ParentSquare,parentsquare,gabbartllc.com,,,,,1M-5M,
